source,lemma,display,unit,pos,level,topic,zh,forms,example,translation,levelBasis,status,reviewFields,reviewSource,reviewSourceUrl,reviewedOn
"NTNU LearnNoW / NoW 初级课程候选","bagett","en bagett","单词","名词","A1","厨房与用餐","法棍；长形法式面包","en bagett · bagetten · bagetter · bagettene","Jeg kjøper en bagett til lunsj. / Bagettene ligger ved siden av brødet.","我买一条法棍当午餐。 / 法棍放在面包旁边。","面包与购物基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bagett","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","bolle","ei bolle","单词","名词","A1","厨房与用餐","小圆面包；甜面包；一碗（依语境）","ei bolle · bolla · boller · bollene","Jeg kjøper en kanelbolle til kaffen. / Hun spiser suppe fra ei bolle.","我买一个肉桂小圆面包配咖啡。 / 她用碗喝汤。","食物与咖啡馆基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bolle","2026-09-24"
"vocab-v2-library.js · V2 词条","gaffel","en gaffel","单词","名词","A1","厨房与用餐","叉子","en gaffel · gaffelen · gafler · gaflene","Vi trenger en gaffel til. / Gaflene ligger i skuffen.","我们还需要一把叉子。 / 叉子在抽屉里。","项目内部等级标签，需抽查","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/gaffel","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","glass","et glass","单词","名词","A1","厨房与用餐","玻璃；玻璃杯；一杯（饮料，依语境）","et glass · glasset · glass · glassene","Kan jeg få et glass vann? / Glasset falt på gulvet, men det knuste ikke.","能给我一杯水吗？ / 玻璃杯掉到地上了，但没有摔碎。","日常餐桌物品基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/glass","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","is","en is","单词","名词","A1","厨房与用餐","冰淇淋；冰（同形词，依语境）","en is · isen · iser · isene","Barna kjøper en is etter skolen. / Det er glatt fordi det ligger is på veien.","孩子们放学后买一个冰淇淋。 / 路上结冰了，所以很滑。","食物与天气基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/is","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","kake","ei kake","单词","名词","A1","厨房与用餐","蛋糕；糕点；一块蛋糕（依语境）","ei kake · kaka · kaker · kakene","Jeg baker en kake til fødselsdagen. / Kaka står på bordet.","我为生日烤一个蛋糕。 / 蛋糕放在桌子上。","食物与庆祝主题基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kake","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","kjøkkenbenk","en kjøkkenbenk","单词","名词","A1","厨房与用餐","厨房台面；厨房操作台","en kjøkkenbenk · kjøkkenbenken · kjøkkenbenker · kjøkkenbenkene","Brødet ligger på kjøkkenbenken. / Jeg tørker av kjøkkenbenken etter matlaging.","面包放在厨房台面上。 / 做完饭后我擦厨房台面。","厨房空间与家居名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kj%C3%B8kkenbenk","2026-09-24"
"vocab-v2-library.js · V2 词条","kniv","en kniv","单词","名词","A1","厨房与用餐","刀；餐刀","en kniv · kniven · kniver · knivene","Kan jeg få en kniv? / Kniven ligger ved siden av tallerkenen.","可以给我一把刀吗？ / 餐刀在盘子旁边。","项目内部等级标签，需抽查","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kniv","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","koke","å koke","单词","动词","A1","厨房与用餐","煮；烧开；沸腾","koke · koker · kokte · kokt","Jeg koker egg til frokost. / Vannet kokte etter noen minutter.","我早餐煮鸡蛋。 / 几分钟后水烧开了。","厨房基础动作；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/koke","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","komfyr","en komfyr","单词","名词","A1","厨房与用餐","炉灶；厨房灶具（通常指烤箱和炉面组合）","en komfyr · komfyren · komfyrer · komfyrene","Suppa står på komfyren. / Vi har en ny komfyr på kjøkkenet.","汤在炉灶上。 / 我们厨房里有一台新炉灶。","厨房家居基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/komfyr","2026-09-24"
"vocab-v2-library.js · V2 词条","kopp","en kopp","单词","名词","A1","厨房与用餐","杯子；一杯","en kopp · koppen · kopper · koppene","Vil du ha en kopp te? / Koppene står i skapet.","你想喝一杯茶吗？ / 杯子在柜子里。","项目内部等级标签，需抽查","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kopp","2026-09-24"
"vocab-v2-library.js · V2 词条","lunsj","en lunsj","单词","名词","A1","厨房与用餐","午餐","en lunsj · lunsjen · lunsjer · lunsjene","Vi spiser lunsj klokka tolv. / Lunsjen i dag var god.","我们十二点吃午饭。 / 今天的午餐很好吃。","项目内部等级标签，需抽查","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/lunsj","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","spisebord","et spisebord","单词","名词","A1","厨房与用餐","餐桌；饭桌","et spisebord · spisebordet · spisebord · spisebordene","Vi dekker spisebordet før middagen. / Hele familien sitter rundt spisebordet.","晚饭前我们摆好餐桌。 / 全家人围坐在餐桌旁。","厨房与用餐家具名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/spisebord","2026-09-24"
"vocab-v2-library.js · V2 词条","tallerken","en tallerken","单词","名词","A1","厨房与用餐","盘子","en tallerken · tallerkenen · tallerkener · tallerkenene","Jeg setter tallerkenen på bordet. / Vi trenger flere tallerkener.","我把盘子放在桌上。 / 我们还需要几个盘子。","项目内部等级标签，需抽查","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/tallerken","2026-09-24"
"A1候选；Bokmålsordboka 不定代词义","en","en","单词","代词","A1","代词与泛指","一个人；人们；你（泛指）","en","En lærer mye av å snakke med folk. / Når en bor i Norge, bruker en ofte buss.","人们能从与他人交谈中学到很多。 / 住在挪威时，人们常常坐公交。","泛指一般人或“一个人”的常见代词用法，暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/en","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","grav","en grav","单词","名词","A1","地点与生活","坟墓；墓穴；墓地中的墓位","en grav · graven · graver · gravene","Familien la blomster på graven. / Graven ligger på kirkegården ved kirka.","家人在墓前放了鲜花。 / 那座墓在教堂旁的墓园里。","墓地和纪念场景基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/grav","2026-09-24"
"NTNU NoW Basic Norwegian Words；Bokmålsordboka 不规则动词词形核对","falle","å falle","单词","动词","A1","动作与变化","跌倒；落下；下降；进入某种状态（依语境）","å falle · faller · falt · falt","Et eple falt ned fra treet. / Hun falt på isen, men slo seg ikke.","一个苹果从树上掉了下来。 / 她在冰上摔倒了，但没有受伤。","描述跌倒、落下和季节变化的基础动词；项目暂标A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/falle","2026-09-24"
"NTNU NoW Basic Norwegian Words；Bokmålsordboka 多义项与不规则变位核对","slå","å slå","单词","动词","A1","动作与身体","打；击；敲；按；打败；使关闭（依语境）","å slå · slår · slo · slått","Kan du slå på lyset i gangen? / Laget vårt slo motstanderne i finalen.","你能把走廊的灯打开吗？ / 我们的队伍在决赛中击败了对手。","常用动作动词，具体含义高度依赖搭配；项目暂标A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/slå","2026-09-24"
"NTNU NoW Basic Norwegian Words；Bokmålsordboka 变位核对","dytte","å dytte","单词","动词","A1","动作与移动","推；推挤；轻轻推一下","å dytte · dytter · dyttet · dyttet","Han dyttet døra forsiktig opp. / Ikke dytt de andre i køen.","他轻轻把门推开了。 / 别在队伍里推别人。","日常推、挪物品和提醒他人的基础动词；项目暂标A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/dytte","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","veikryss","et veikryss","单词","名词","A1","方向与道路","道路交叉口；十字路口","et veikryss · veikrysset · veikryss · veikryssene","Ta til venstre i neste veikryss. / Det er et veikryss ved skolen.","在下一个路口左转。 / 学校旁边有一个交叉路口。","基础方向指路名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/veikryss","2026-09-24"
"Bokmålsordboka / NTNU LearnNoW 候选","hjem","hjem","单词","副词","A1","方向与位置","回家；到家（方向副词，不带介词 til）","hjem","Jeg går hjem etter norskkurset. / Når kom dere hjem i går?","挪威语课后我走回家。 / 你们昨天几点到家的？","回家方向表达的基础副词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/hjem","2026-09-24"
"Bokmålsordboka / NTNU LearnNoW 候选","høyre","høyre","单词","形容词","A1","方向与位置","右边的；右侧的（通常修饰身体部位或位置）","høyre","Hun skriver med høyre hånd. / Apoteket ligger på høyre side av gata.","她用右手写字。 / 药房在街道右侧。","基础左右方位形容词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/nob/bm/høyre","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","elske","å elske","单词","动词","A1","感受与关系","爱；深爱；非常喜欢","elske · elsker · elsket · elsket","De elsker barna sine. / Jeg elsker å gå på ski om vinteren.","他们深爱自己的孩子。 / 我特别喜欢冬天去滑雪。","表达喜爱和情感的基础动词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/elske","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","adresse","ei adresse","单词","名词","A1","个人信息","地址；住址；电子邮件地址（依语境）","ei adresse · adressa · adresser · adressene","Hva er adressa di? / Jeg skriver adressen på skjemaet.","你的地址是什么？ / 我把地址写在表格上。","个人信息主题词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/adresse","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","bekreftelse","en bekreftelse","单词","名词","A1","个人信息","确认；确认信息；确认函/凭证","en bekreftelse · bekreftelsen · bekreftelser · bekreftelsene","Jeg fikk en bekreftelse på e-post. / Ta med bekreftelsen til timen.","我通过电子邮件收到了一份确认通知。 / 去预约时把确认凭证带上。","预约和信息确认常用名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bekreftelse","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","etternavn","etternavn","单词","名词","A1","个人信息","姓；姓氏","et etternavn · etternavnet · etternavn · etternavnene","Hva er etternavnet ditt? / Skriv fornavn og etternavn her.","你的姓氏是什么？ / 请在这里填写名字和姓氏。","个人信息主题基础词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/etternavn","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","fødselsdag","en fødselsdag","单词","名词","A1","个人信息","生日；出生纪念日","en fødselsdag · fødselsdagen · fødselsdager · fødselsdagene","Datteren min har fødselsdag i mai. / Vi feiret fødselsdagen hennes hjemme.","我女儿五月过生日。 / 我们在家给她庆祝了生日。","个人经历与庆祝主题基础词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/fødselsdag","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","fødselsdato","en fødselsdato","单词","名词","A1","个人信息","出生日期；生日的具体日期","en fødselsdato · fødselsdatoen · fødselsdatoer · fødselsdatoene","Du må oppgi fødselsdatoen din i skjemaet. / Fødselsdatoen står på passet.","你必须在表格里填写出生日期。 / 出生日期写在护照上。","个人信息表格常用词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/f%C3%B8dselsdato","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","min","min","单词","限定词","A1","个人信息","我的（修饰名词；形式随名词性数变化）","min · mi · mitt · mine","Sønnen min går på skolen. / Jeg finner ikke nøklene mine.","我儿子在上学。 / 我找不到我的钥匙。","基础物主限定词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/min","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","pass","et pass","单词","名词","A1","个人信息","护照；通行证","et pass · passet · pass · passene","Husk å ta med passet ditt. / Hun viser passet i kontrollen.","记得带上你的护照。 / 她在检查处出示护照。","出行与身份基础词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/pass","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","vi","vi","单词","代词","A1","个人信息","我们（主格）；宾格形式 oss","vi · oss · vår / vårt / våre","Vi bor i en liten by. / Læreren snakker med oss.","我们住在一个小镇上。 / 老师和我们说话。","基础人称代词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/vi","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","nummer","et nummer","单词","名词","A1","个人信息与数字","号码；编号；数字；期号（依语境）","et nummer · nummeret · nummer / numre · numrene","Kan jeg få telefonnummeret ditt? / Huset vårt har nummer tolv.","我可以要你的电话号码吗？ / 我们的房子是十二号。","基础编号和个人信息名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/nummer","2026-09-24"
"Bokmålsordboka / NTNU LearnNoW 候选","han","han","单词","代词","A1","个人信息与指代","他（主格）；宾格形式 ham；所有格 hans","han · ham · hans","Han jobber på et sykehus i Oslo. / Jeg snakker med ham etter møtet.","他在奥斯陆的一家医院工作。 / 会议后我和他交谈。","最基础第三人称代词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/han","2026-09-24"
"Bokmålsordboka / NTNU LearnNoW 候选","hun","hun","单词","代词","A1","个人信息与指代","她（主格）；宾格 henne；所有格 hennes","hun · henne · hennes","Hun besøker moren sin på søndag. / Jeg reiser med henne og sønnen hennes.","她星期天去看望自己的母亲。 / 我和她以及她的儿子一起旅行。","最基础的第三人称代词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/hun","2026-09-24"
"Bokmålsordboka / NTNU LearnNoW 候选","jeg","jeg","单词","代词","A1","个人信息与指代","我（主格）；宾格形式是 meg","jeg · meg","Jeg lærer norsk sammen med kona mi. / Læreren snakker med meg etter timen.","我和妻子一起学挪威语。 / 老师下课后和我交谈。","最基础的人称代词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/jeg","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","kollega","en kollega","单词","名词","A1","工作与关系","同事；一起工作的人","en kollega · kollegaen · kollegaer / kolleger · kollegaene / kollegene","En kollega hjalp meg med rapporten. / Jeg spiser lunsj med kollegene mine.","一位同事帮我处理了这份报告。 / 我和同事们一起吃午饭。","工作关系基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kollega","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","administrasjon","en administrasjon","单词","名词","A1","工作与机构","行政部门；管理工作；行政管理（依语境）","en administrasjon · administrasjonen · administrasjoner · administrasjonene","Hun jobber i administrasjonen på skolen. / Den nye administrasjonen begynner på mandag.","她在学校的行政部门工作。 / 新的管理团队星期一开始履职。","学校和工作场所机构词汇；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/administrasjon","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","arbeide","å arbeide","单词","动词","A1","工作与学习","工作；劳动；做（某项工作）","arbeide · arbeider · arbeidet / arbeida / arbeidde · arbeidet / arbeida / arbeidde","Hun arbeider som sykepleier på et sykehus. / Vi arbeidet med prosjektet hele dagen.","她在一家医院当护士。 / 我们一整天都在做这个项目。","工作与学习基础动词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/nno/bm/2467","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","barnehage","en barnehage","单词","名词","A1","工作与学习","幼儿园；学前儿童日托机构","en barnehage · barnehagen · barnehager · barnehagene","Datteren min går i barnehage. / Barnehagen stenger klokka fem.","我女儿上幼儿园。 / 幼儿园五点关门。","挪威家庭与教育主题词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/barnehage","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","bokhandel","en bokhandel","单词","名词","A1","工作与学习","书店","en bokhandel · bokhandelen · bokhandler · bokhandlene","Jeg kjøper en norsk ordbok i bokhandelen. / Bokhandelen ligger ved siden av kafeen.","我在书店买一本挪威语词典。 / 书店在咖啡馆旁边。","购物地点与阅读主题名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bokhandel","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","forklare","å forklare","单词","动词","A1","工作与学习","解释；说明；讲解","forklare · forklarer · forklarte · forklart","Læreren forklarer grammatikken på en enkel måte. / Kan du forklare meg hvordan appen virker?","老师用简单的方式讲解语法。 / 你能给我解释一下这个应用怎么用吗？","课堂交流基础动词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/forklare","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","gitar","en gitar","单词","名词","A1","工作与学习","吉他","en gitar · gitaren · gitarer · gitarene","Sønnen min spiller gitar. / Gitaren står ved sofaen.","我儿子会弹吉他。 / 吉他放在沙发旁边。","兴趣与日常主题词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/gitar","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","instrument","et instrument","单词","名词","A1","工作与学习","乐器；仪器；工具（依语境）","et instrument · instrumentet · instrumenter · instrumentene","Hun spiller et instrument i skolekorpset. / Legen bruker et instrument til undersøkelsen.","她在学校乐队里演奏一种乐器。 / 医生用一种仪器进行检查。","兴趣和音乐主题基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/instrument","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","jus","jus","单词","名词","A1","工作与学习","法学；法律学（此卡此义，不是果汁义）","jus · jussen","Hun studerer jus ved universitetet. / Han har jobbet med jus i mange år.","她在大学学习法学。 / 他从事法律工作很多年了。","学习与专业主题词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/jus","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","kamera","et kamera","单词","名词","A1","工作与学习","相机；摄影机","et kamera · kameraet · kameraer · kameraene","Jeg tar et bilde med kameraet mitt. / Hun har et lite kamera i veska.","我用自己的相机拍了一张照片。 / 她包里有一台小相机。","日常物品与媒体主题名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kamera","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","klasse","en klasse","单词","名词","A1","工作与学习","班级；年级；课堂；类别（依语境）","en klasse · klassen · klasser · klassene","Datteren min går i tredje klasse. / Hele klassen skal på tur.","我女儿读三年级。 / 全班要一起去郊游。","学校生活基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/klasse","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","kontor","et kontor","单词","名词","A1","工作与学习","办公室；办公处；办事处","et kontor · kontoret · kontorer · kontorene","Lederen sitter på kontoret sitt. / Kommunen har et kontor i sentrum.","经理在自己的办公室里。 / 市政府在市中心有一个办事处。","学习和工作场景基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kontor","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","ledig","ledig","单词","形容词","A1","工作与学习","空着的；有空的；空缺的；失业的（依语境）","ledig · ledig · ledige","Er du ledig på fredag? / Det er en ledig stol her.","你星期五有空吗？ / 这里有一把空椅子。","工作与日常安排常用词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/ledig","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","musikk","en musikk","单词","名词","A1","工作与学习","音乐（通常作不可数名词）","musikk · musikken","Jeg lytter til musikk på bussen. / Musikken fra filmen er veldig fin.","我在公交车上听音乐。 / 电影里的音乐很好听。","兴趣与日常主题名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/musikk","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","norsk","norsk","单词","形容词","A1","工作与学习","挪威的；挪威语的；挪威人的","norsk · norsk · norske","Jeg lærte et nytt norsk ord på kurset. / De bor i et norsk hus.","我在课程上学了一个新的挪威语单词。 / 他们住在一栋挪威式的房子里。","语言与国籍基础形容词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/norsk","2026-09-24"
